CreateObject(983, 1544.69824, -1635.93835, 12.71150,   0.00000, 0.00000, 0.00000);
CreateObject(983, 1544.69824, -1621.98157, 10.93920,   90.00000, 0.00000, 0.00000);
CreateObject(983, 1544.69824, -1620.71826, 10.93920,   90.00000, 0.00000, 0.00000);
CreateObject(983, 1544.69824, -1619.44812, 10.93920,   90.00000, 0.00000, 0.00000);
CreateObject(983, 1544.69824, -1618.26965, 10.93920,   90.00000, 0.00000, 0.00000);
CreateObject(983, 1544.69824, -1623.23840, 10.93920,   90.00000, 0.00000, 0.00000);
CreateObject(983, 1544.69824, -1635.93835, 13.48080,   0.00000, 0.00000, 0.00000);
CreateObject(984, 1534.71130, -1713.59094, 13.17080,   0.00000, 0.00000, 0.00000);
CreateObject(982, 1534.71570, -1651.03650, 13.22280,   0.00000, 0.00000, 0.00000);
CreateObject(982, 1534.71570, -1694.38855, 13.22280,   0.00000, 0.00000, 0.00000);
CreateObject(983, 1537.57996, -1667.02185, 13.22730,   0.00000, 0.00000, 0.00000);
CreateObject(983, 1537.57996, -1678.43225, 13.22730,   0.00000, 0.00000, 0.00000);
CreateObject(1533, 1582.59338, -1637.87952, 14.85700,   0.00000, 0.00000, 0.00000);
CreateObject(1533, 1584.12793, -1637.87952, 12.35960,   0.00000, 0.00000, 180.00000);
CreateObject(4199, 1602.33618, -1618.13416, 14.49530,   0.00000, 0.00000, 180.00000);
CreateObject(1231, 1568.71838, -1620.36475, 15.16990,   0.00000, 0.00000, 90.00000);
CreateObject(1231, 1577.31250, -1620.36475, 15.16990,   0.00000, 0.00000, 90.00000);
CreateObject(1231, 1560.25928, -1620.36475, 15.16990,   0.00000, 0.00000, 90.00000);
CreateObject(1231, 1551.53320, -1620.36475, 15.16990,   0.00000, 0.00000, 90.00000);
CreateObject(1597, 1586.81042, -1688.28064, 7.75170,   0.00000, 0.00000, 180.00000);
CreateObject(14855, 1584.16846, -1671.30383, 9.37930,   0.00000, 0.00000, 0.00000);
CreateObject(2604, 1585.59546, -1669.33032, 5.60650,   0.00000, 0.00000, -90.00000);
CreateObject(2356, 1584.00720, -1668.23694, 4.87990,   0.00000, 0.00000, 249.77811);
CreateObject(2612, 1524.67383, -1671.76294, 7.61640,   0.00000, 0.00000, 90.00000);
CreateObject(5822, 1577.04944, -1638.87439, 22.08610,   0.00000, 0.00000, 274.77420);
CreateObject(3934, 1549.15125, -1643.91797, 27.38650,   0.00000, 0.00000, 0.00000);
CreateObject(984, 246.57390, 119.74840, 1006.36389,   0.00000, 0.00000, 90.00000);
CreateObject(984, 246.57390, 119.74840, 1005.09583,   0.00000, 0.00000, 90.00000);
CreateObject(983, 239.69980, 111.24890, 1004.85010,   0.00000, 0.00000, 0.00000);
CreateObject(983, 253.13139, 115.84930, 1004.85010,   0.00000, 0.00000, 0.00000);
CreateObject(3109, 216.34959, 127.13520, 1003.40839,   0.00000, 0.00000, 90.00000);
